"Pedon_ID","UTM_ID","H_number","Horizon","topDepth_cm","bottomDepth_cm","dry_hue","dry_value","dry_chroma","moist_hue","moist_value","moist_chroma","texture","text_modifier","clay","sand","RF","Gravel","Cobbles","Stones","structure","dry_cons","moist_cons","stickiness","plasticity","roots","pores","pH","EC","Eff.","Boundary","CaCO3_meas","Gyp_meas","CaCO3_vis","Gyp_vis","concent_kind_.","pv_kind","pv_.","pv_distinct","pv_location","notes"
"T7-GWC-05","0374203_3593641",2,"Bk",30,66,NA,NA,NA,"7.5YR",4,4,"SC",NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T7-GWC-05","0374203_3593641",3,"Btky",66,122,NA,NA,NA,"5YR",4,4,"SC",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374203_3734331",1,"A",0,10,"7.5YR",3,2,"7.5YR",2.5,3,"CL",NA,33,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374203_3734331",2,"Bk",10,110,"7.5YR",3,3,"7.5YR",2.5,3,"CL",NA,34,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374204_3734311",1,"A",0,7,"7.5YR",4,3,"7.5YR",3,3,"SICL",NA,37,4,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374204_3734311",2,"Bt",7,77,"7.5YR",4,3,"7.5YR",3,3,"SICL",NA,31,10,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,"CLF","20","F; PF",NA,NA
NA,"0374204_3734311",3,"Btk",77,144,"7.5YR",5,3,"7.5YR",4,3,"SICL",NA,33,8,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,2,NA,NA,"CLF","30","D; PF",NA,"Stopped by rocks @ 114 cm / Same as Stop 4; CAM AND MAT"
NA,"0374228_3734352",1,"A1",0,12,"7.5YR",3,2,"7.5YR",2.5,2,"CL",NA,34,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374228_3734352",2,"A2",12,90,"7.5YR",3,2,"7.5YR",2.5,2,"CL",NA,34,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374228_3734352",3,"Bk",90,175,"7.5YR",4,3,"7.5YR",3,3,"SICL",NA,41,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374254_3734373",1,"A",0,15,"7.5YR",4,3,"7.5YR",2.5,3,"SIC",NA,32,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374254_3734373",2,"Btk1",15,44,"7.5YR",3,3,"2.5YR",5,3,"SICL",NA,38,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374254_3734373",3,"Btk2",44,125,"7.5YR",4,3,"7.5YR",3,3,"SIL",NA,38,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374302_3600597",1,"AB",0,36,"7.5YR",4,4,NA,NA,NA,"SL",NA,10,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA
NA,"0374302_3600597",2,"Bk",36,71,"5YR",4,6,NA,NA,NA,"SL",NA,12,NA,10,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,15,5,NA,NA,NA,NA,NA,NA
NA,"0374302_3600597",3,"Bky",71,114,"5YR",4,6,NA,NA,NA,"SL",NA,15,NA,25,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,25,10,NA,NA,NA,NA,NA,NA
"T7-GWC-05","0374310_3593630",1,"Bw",5,41,NA,NA,NA,"7.5YR",4,4,"SCL",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T7-GWC-05","0374310_3593630",2,"Btk",41,61,NA,NA,NA,"7.5YR",4,6,"SC",NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T7-GWC-05","0374310_3593630",3,"Btky",61,122,NA,NA,NA,NA,NA,NA,"C",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374325_3597447",1,"AB",0,12,NA,NA,NA,"7.5YR",3,3,"L",NA,12,NA,NA,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"structure sbk to platy due to shallow surface cracks"
NA,"0374325_3597447",2,"B",12,23,NA,NA,NA,"7.5YR",4,5,"SL",NA,10,NA,NA,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374325_3597447",3,"Bky",23,30,NA,NA,NA,"7.5YR",5,3,"LS",NA,NA,NA,NA,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"0374325_3597447",4,"Bm",30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"At 30'' inches Petrocalcic Petrogypsic"
NA,"0374373_3660501",1,"A",0,30,NA,NA,NA,"7.5YR",4,3,"SL",NA,11,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
NA,"0374373_3660501",2,"By",30,122,NA,NA,NA,"7.5YR",4,3,"SL",NA,10,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,0,4,NA,NA,NA,NA,NA,"By has disseminated gypsum with tiny white specks in peds ; at 48"" sandy talus"
NA,"0374373_3660501",3,"2By",122,152,NA,NA,NA,"5YR",4,6,"L","GYP",22,NA,0,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,NA,NA,0,10,NA,NA,NA,NA,NA,"2By have bots gyp and selenite crystals and 25 % gyp white sugar in peds"
NA,"0374400_3601439",1,"Bw",0,30,"7.5YR",4,6,NA,NA,NA,"LS",NA,12,NA,NA,NA,NA,NA,"SBK",NA,NA,NA,NA,NA,NA,NA,NA,"ST",NA,5,0,NA,NA,NA,NA,NA,NA,NA,"Bw medium sand"
