"utm_E","utm_N","utm_ID"
393447,3654556,"0393447_3654556"
370688,3601254,"0370688_3601254"
326749,3719307,"0326749_3719307"
370618,3600628,"0370618_3600628"
369785,3600805,"0369785_3600805"
369813,3600632,"0369813_3600632"
369836,3601445,"0369836_3601445"
369911,3601251,"0369911_3601251"
370644,3601497,"0370644_3601497"
382641,3685427,"0382641_3685427"
364885,3675873,"0364885_3675873"
372619,3611543,"0372619_3611543"
372622,3611681,"0372622_3611681"
372629,3611727,"0372629_3611727"
372632,3611622,"0372632_3611622"
372634,3611467,"0372634_3611467"
372642,3611573,"0372642_3611573"
372643,3611373,"0372643_3611373"
372644,3611413,"0372644_3611413"
372645,3611504,"0372645_3611504"
372648,3611365,"0372648_3611365"
393478,3654493,"0393478_3654493"
393499,3654466,"0393499_3654466"
365238,3641216,"0365238_3641216"
365406,3639311,"0365406_3639311"
365481,3640774,"0365481_3640774"
365505,3639027,"0365505_3639027"
365626,3638705,"0365626_3638705"
365646,3640465,"0365646_3640465"
365732,3638420,"0365732_3638420"
365754,3640194,"0365754_3640194"
365982,3637809,"0365982_3637809"
392467,3716538,"0392467_3716538"
370136,3587536,"0370136_3587536"
370173,3587514,"0370173_3587514"
370205,3587493,"0370205_3587493"
369478,3597621,"0369478_3597621"
370524,3600078,"0370524_3600078"
397876,3636701,"0397876_3636701"
404101,3624005,"0404101_3624005"
375409,3617404,"0375409_3617404"
375427,3616818,"0375427_3616818"
375468,3616918,"0375468_3616918"
375487,3617018,"0375487_3617018"
376515,3618541,"0376515_3618541"
375352,3616588,"0375352_3616588"
376489,3617203,"0376489_3617203"
392589,3673241,"0392589_3673241"
357887,3752617,"0357887_3752617"
376514,3617873,"0376514_3617873"
395023,3647881,"0395023_3647881"
376562,3618311,"0376562_3618311"
390217,3622757,"0390217_3622757"
376519,3617614,"0376519_3617614"
364917,3629552,"0364917_3629552"
404140,3623928,"0404140_3623928"
347047,3730603,"0347047_3730603"
346288,3740275,"0346288_3740275"
346679,3730768,"0346679_3730768"
346524,3728966,"0346524_3728966"
346765,3729515,"0346765_3729515"
345921,3726220,"0345921_3726220"
346343,3727868,"0346343_3727868"
361427,3731867,"0361427_3731867"
380259,3611164,"0380259_3611164"
358591,3645313,"0358591_3645313"
370137,3700778,"0370137_3700778"
370242,3700879,"0370242_3700879"
370350,3700970,"0370350_3700970"
370452,3701088,"0370452_3701088"
370556,3701178,"0370556_3701178"
372546,3664195,"0372546_3664195"
380531,3702898,"0380531_3702898"
383354,3706167,"0383354_3706167"
383448,3706369,"0383448_3706369"
383756,3707031,"0383756_3707031"
383942,3707470,"0383942_3707470"
391244,3666591,"0391244_3666591"
397638,3649106,"0397638_3649106"
398952,3649713,"0398952_3649713"
396979,3648808,"0396979_3648808"
380257,3605493,"0380257_3605493"
380356,3605498,"0380356_3605498"
405865,3617218,"0405865_3617218"
368005,3611433,"0368005_3611433"
385200,3663608,"0385200_3663608"
384517,3661608,"0384517_3661608"
385061,3664335,"0385061_3664335"
385124,3664680,"0385124_3664680"
385165,3665033,"0385165_3665033"
382430,3685763,"0382430_3685763"
382954,3685938,"0382954_3685938"
364493,3715607,"0364493_3715607"
388385,3665382,"0388385_3665382"
371652,3597928,"0371652_3597928"
371800,3598048,"0371800_3598048"
372042,3598203,"0372042_3598203"
374325,3597447,"0374325_3597447"
372319,3598411,"0372319_3598411"
372665,3598666,"0372665_3598666"
373498,3598919,"0373498_3598919"
373525,3598855,"0373525_3598855"
373554,3598752,"0373554_3598752"
384753,3661962,"0384753_3661962"
385051,3663978,"0385051_3663978"
383377,3665004,"0383377_3665004"
383825,3665180,"0383825_3665180"
384789,3665600,"0384789_3665600"
385361,3665800,"0385361_3665800"
391260,3669866,"0391260_3669866"
358105,3644423,"0358105_3644423"
358706,3644526,"0358706_3644526"
366940,3706335,"0366940_3706335"
378467,3701954,"0378467_3701954"
379420,3702003,"0379420_3702003"
364696,3726000,"0364696_3726000"
364699,3726163,"0364699_3726163"
364700,3726105,"0364700_3726105"
366894,3711131,"0366894_3711131"
366944,3710866,"0366944_3710866"
379806,3703956,"0379806_3703956"
376185,3625236,"376185_3625236"
384891,3662846,"0384891_3662846"
382459,3700660,"0382459_3700660"
387638,3663878,"0387638_3663878"
391315,3587577,"0391315_3587577"
366483,3728588,"0366483_3728588"
388337,3586355,"0388337_3586355"
388355,3586387,"0388355_3586387"
388373,3586418,"0388373_3586418"
388390,3586450,"0388390_3586450"
388426,3586513,"0388426_3586513"
388462,3586577,"0388462_3586577"
388480,3586609,"0388480_3586609"
365803,3731001,"0365803_3731001"
366630,3728194,"0366630_3728194"
367848,3725876,"0367848_3725876"
363294,3730254,"0363294_3730254"
366568,3597195,"0366568_3597195"
342955,3537295,"0342955_3537295"
310396,3658773,"0310396_3658773"
310532,3658764,"0310532_3658764"
310580,3658671,"0310580_3658671"
310764,3658750,"0310764_3658750"
310809,3658747,"0310809_3658747"
317767,3717056,"0317767_3717056"
318630,3717263,"0318630_3717263"
319493,3717470,"0319493_3717470"
319924,3717570,"0319924_3717570"
320791,3717781,"0320791_3717781"
403552,3717428,"0403552_3717428"
321222,3717882,"0321222_3717882"
320539,3717676,"0320539_3717676"
357733,3648470,"0357733_3648470"
400087,3646889,"0400087_3646889"
335380,3719178,"0335380_3719178"
398290,3649439,"0398290_3649439"
381364,3609433,"0381364_3609433"
376495,3617441,"0376495_3617441"
376507,3616727,"0376507_3616727"
376518,3618762,"0376518_3618762"
387432,3664470,"0387432_3664470"
388124,3664788,"0388124_3664788"
387582,3664619,"0387582_3664619"
387911,3664838,"0387911_3664838"
388326,3665234,"0388326_3665234"
381040,3608582,"0381040_3608582"
367044,3710766,"0367044_3710766"
367911,3709696,"0367911_3709696"
367418,3710272,"0367418_3710272"
367237,3710525,"0367237_3710525"
367315,3710424,"0367315_3710424"
388300,3663100,"0388300_3663100"
385192,3717242,"0385192_3717242"
367608,3710001,"0367608_3710001"
333948,3758180,"0333948_3758180"
359358,3634300,"0359358_3634300"
359407,3634514,"0359407_3634514"
359421,3632710,"0359421_3632710"
368916,3705974,"0368916_3705974"
395854,3655367,"0395854_3655367"
372312,3664733,"0372312_3664733"
375242,3599330,"0375242_3599330"
375246,3599432,"0375246_3599432"
375270,3599533,"0375270_3599533"
395720,3583412,"0395720_3583412"
395859,3582194,"0395859_3582194"
395997,3583188,"0395997_3583188"
396061,3583091,"0396061_3583091"
374400,3601439,"0374400_3601439"
346576,3731083,"0346576_3731083"
370025,3674016,"0370025_3674016"
370278,3674108,"0370278_3674108"
399602,3650026,"0399602_3650026"
400253,3650322,"0400253_3650322"
373783,3600256,"0373783_3600256"
396719,3582912,"0396719_3582912"
396848,3582896,"0396848_3582896"
381601,3700639,"0381601_3700639"
346931,3731760,"0346931_3731760"
347097,3732042,"0347097_3732042"
347215,3732350,"0347215_3732350"
347341,3734139,"0347341_3734139"
347398,3733804,"0347398_3733804"
362853,3677496,"0362853_3677496"
363072,3677334,"0363072_3677334"
364381,3676467,"0364381_3676467"
335475,3755241,"0335475_3755241"
334995,3755320,"0334995_3755320"
338444,3714430,"0338444_3714430"
374090,3600430,"0374090_3600430"
374302,3600597,"0374302_3600597"
374405,3600669,"0374405_3600669"
374507,3600766,"0374507_3600766"
358146,3643799,"0358146_3643799"
362645,3677719,"0362645_3677719"
362746,3616426,"0362746_3616426"
362779,3616296,"0362779_3616296"
362790,3616185,"0362790_3616185"
363329,3614469,"0363329_3614469"
363495,3677094,"0363495_3677094"
366729,3596900,"0366729_3596900"
366880,3596653,"0366880_3596653"
367826,3705427,"0367826_3705427"
368153,3705660,"0368153_3705660"
369568,3706134,"0369568_3706134"
369876,3706179,"0369876_3706179"
372649,3664510,"0372649_3664510"
372851,3664517,"0372851_3664517"
375214,3663137,"0375214_3663137"
333283,3754283,"0333283_3754283"
333361,3757126,"0333361_3757126"
333361,3757126,"0333361_3757126"
333548,3758180,"0333548_3758180"
334093,3754884,"0334093_3754884"
334603,3756430,"0334603_3756430"
334603,3756430,"0334603_3756430"
385000,3663212,"0385000_3663212"
347528,3732921,"0347528_3732921"
358125,3642145,"0358125_3642145"
358228,3644854,"0358228_3644854"
358353,3642262,"0358353_3642262"
